id	rövid név	teljes név	angol név	role	from	to
parliamentaryGroup.Fidesz.7	Fidesz-frakció	A idesz – Magyar Polgári Szövetség parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 7th parliamentary term	parliamentaryGroup	2014-05-06	2018-05-07
parliamentaryGroup.KDNP.7	KNDP-frakció	A Kereszténydemokrata Néppárt parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Christian Democratic People's Party in the 7th parliamentary term	parliamentaryGroup	2014-05-06	2018-05-07
parliamentaryGroup.MSZP.7	MSZP-frakció	A Magyar Szocialista Párt parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Hungarian Socialist Party in the 7th parliamentary term	parliamentaryGroup	2014-05-06	2018-05-07
parliamentaryGroup.JOBBIK.7	JOBBIK-frakció	A Jobbik Magyarországért Mozgalom parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Movement for a Better Hungary in the 7th parliamentary term	parliamentaryGroup	2014-05-06	2018-05-07
parliamentaryGroup.LMP.7	LMP-frakció	A Lehet Más a Politika parlamenti frakciója a 7. parlamenti ciklusban	Parliamentary group of the Politics Can be Different in the 7th parliamentary term	parliamentaryGroup	2014-05-06	2018-05-07
parliamentaryGroup.DK.8	DK-frakció	A Demokratikus Koalíció parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Democratic Coalition in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.Parbeszed.8	Párbeszéd-frakció	A Párbeszéd Magyarországért parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Dialogue for Hungary in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.Fidesz.8	Fidesz-frakció	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.KDNP.8	KNDP-frakció	A Kereszténydemokrata Néppárt parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Christian Democratic People's Party in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.MSZP.8	MSZP-frakció	A Magyar Szocialista Párt parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Hungarian Socialist Party in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.JOBBIK.8	JOBBIK-frakció	A Jobbik Magyarországért Mozgalom parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Movement for a Better Hungary in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.LMP.8	LMP-frakció	A Lehet Más a Politika parlamenti frakciója a 8. parlamenti ciklusban	Parliamentary group of the Politics Can be Different in the 8th parliamentary term	parliamentaryGroup	2018-05-08	2022-05-01
parliamentaryGroup.Fidesz.9	Fidesz-frakció	A Fidesz – Magyar Polgári Szövetség parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Fidesz – Hungarian Civic Alliance in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.KDNP.9	KNDP-frakció	A Kereszténydemokrata Néppárt parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Christian Democratic People's Party in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.MSZP.9	MSZP-frakció	A Magyar Szocialista Párt parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Hungarian Socialist Party in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.JOBBIK.9	JOBBIK-frakció	A Jobbik Magyarországért Mozgalom parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Movement for a Better Hungary in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.LMP.9	LMP-frakció	Az LMP - Magyarország Zöld Pártja parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the LMP – Hungary's Green Party in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.DK.9	DK-frakció	A Demokratikus Koalíció parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Democratic Coalition in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.Parbeszed.9	Párbeszéd-frakció	A Párbeszéd Magyarországért parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Dialogue for Hungary in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.Momentum.9	Momentum-frakció	A Momentum Mozgalom parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Momentum Movement in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
parliamentaryGroup.MiHazank.9	Mi Hazánk-frakció	A Mi Hazánk Mozgalom parlamenti frakciója a 9. parlamenti ciklusban	Parliamentary group of the Our Homeland Movement in the 9th parliamentary term	parliamentaryGroup	2022-05-02	
