parlaid	idő eleje	idő vége	ciklus száma (7, 8, 9)
AghPeter	2014-06-06	2018-05-07	7
AghPeter	2018-05-08	2022-05-01	8
AghPeter	2022-05-02		9
AnderBalazs	2014-06-06	2018-05-07	7
AnderBalazs	2018-05-08	2022-05-01	8
ApatiIstvan	2014-06-06	2018-05-07	7
ApatiIstvan	2018-05-08	2022-05-01	8
ApatiIstvan	2022-05-02		9
AradszkiAndras	2014-06-06	2018-05-07	7
AradszkiAndras	2018-05-08	2022-05-01	8
AradszkiAndras	2022-05-02		9
AratoGergely	2018-05-11	2022-05-01	8
AratoGergely	2022-05-02		9
BajkaiIstvan	2018-05-08	2022-05-01	8
BajkaiIstvan	2022-05-02		9
BakosBernadett	2022-05-02		9
BalassaPeter	2022-05-02		9
BalczoZoltan	2014-06-06	2014-06-20	7
BalczoZoltan	2019-07-08	2022-05-01	8
BallaGyorgy	2014-05-09	2018-05-07	7
BallaGyorgy	2018-05-13	2022-05-01	8
BallaGyorgy	2022-05-02		9
BallaMihaly	2014-05-10	2018-05-07	7
BallaMihaly	2018-05-08	2022-05-01	8
BallaMihaly	2022-05-02		9
BalogZoltan	2014-06-06	2018-05-07	7
BalogZoltan	2018-05-08	2018-10-17	8
BanaTibor	2014-06-06	2018-05-07	7
BanaTibor	2018-05-08	2022-05-01	8
BangoneBorbelyIldiko	2014-06-06	2018-05-07	7
BangoneBorbelyIldiko	2018-05-08	2022-05-01	8
BankiErik	2014-06-06	2018-05-07	7
BankiErik	2018-05-08	2022-05-01	8
BankiErik	2022-05-02		9
BanyaiGabor	2014-06-06	2018-05-07	7
BanyaiGabor	2018-05-08	2022-05-01	8
BanyaiGabor	2022-05-02		9
BarandyGergely	2014-06-06	2018-05-07	7
BarczaAttila	2018-05-08	2022-05-01	8
BarczaAttila	2022-05-02		9
BarkocziBalazs	2022-05-02		9
BartosMonika	2014-06-06	2018-05-07	7
BartosMonika	2018-05-08	2022-05-01	8
BartosMonika	2022-05-02		9
BecsoKaroly	2018-05-08	2022-05-01	8
BecsoZsolt	2014-06-06	2018-05-07	7
BecsoZsolt	2018-05-08	2022-05-01	8
BecsoZsolt	2022-05-02		9
BedoDavid	2022-05-02		9
BencsikJanos	2014-06-06	2018-05-07	7
BencsikJanos	2018-05-08	2022-05-01	8
BencsikJanos	2022-05-02		9
BenczeJanos	2022-05-02		9
BeneIldiko	2014-06-06	2018-05-07	7
BerkiSandor	2022-05-02		9
BNagyLaszlo	2014-05-08	2018-05-07	7
BNagyLaszlo	2018-05-12	2022-05-01	8
BodoSandor	2014-06-06	2018-05-07	7
BodoSandor	2018-05-08	2022-05-01	8
BodoSandor	2022-05-02		9
BoldogIstvan	2014-06-06	2018-05-07	7
BoldogIstvan	2018-05-08	2022-05-01	8
BonaZoltan	2014-06-06	2018-05-07	7
BonaZoltan	2018-05-08	2022-05-01	8
BonaZoltan	2022-05-02		9
BoroczLaszlo	2018-05-08	2022-05-01	8
BoszAnett	2018-05-08	2022-05-01	8
BrennerKoloman	2018-05-08	2022-05-01	8
BrennerKoloman	2022-05-02		9
BudaiGyula	2014-06-06	2018-05-07	7
BudaiGyula	2018-10-29	2022-05-01	8
BudaiGyula	2022-05-02		9
BuranySandor	2014-06-06	2018-05-07	7
BuranySandor	2018-05-08	2022-05-01	8
CsanyiTamas	2019-02-18	2022-05-01	8
CsardiAntal	2018-05-08	2022-05-01	8
CsardiAntal	2022-05-02		9
CsengerZalanZsolt	2014-06-06	2018-05-07	7
CsengerZalanZsolt	2018-05-08	2022-05-01	8
CseresnyesPeter	2014-06-06	2018-05-07	7
CseresnyesPeter	2018-05-08	2022-05-01	8
CseresnyesPeter	2022-05-02		9
CsiziPeter	2014-06-06	2018-05-07	7
CsoborKatalin	2014-06-06	2018-05-07	7
CsoborKatalin	2018-05-08	2022-05-01	8
CsoborKatalin	2022-05-02		9
CzervanGyorgy	2014-06-06	2018-05-07	7
CzervanGyorgy	2018-05-08	2022-05-01	8
CzervanGyorgy	2022-05-02		9
CzombaSandor	2014-06-06	2018-05-07	7
CzunyineDrBertalanJudit	2014-06-06	2018-05-07	7
CzunyineDrBertalanJudit	2018-05-08	2022-05-01	8
CzunyineDrBertalanJudit	2022-05-02		9
DankoBela	2014-06-06	2018-05-07	7
DankoBela	2018-05-08	2022-05-01	8
DankoBela	2022-05-02		9
DavidFerenc	2022-05-02		9
DemeterMarta	2014-06-06	2018-05-07	7
DemeterMarta	2018-05-08	2022-05-01	8
DemeterZoltan	2014-06-06	2018-05-07	7
DemeterZoltan	2018-05-08	2022-05-01	8
DemeterZoltan	2022-05-02		9
DocsDavid	2022-05-02		9
DomotorCsaba	2018-05-08	2022-05-01	8
DomotorCsaba	2022-05-02		9
DudasRobert	2019-11-18	2022-05-01	8
DunaiMonika	2014-06-06	2018-05-07	7
DunaiMonika	2018-05-08	2022-05-01	8
DunaiMonika	2022-05-02		9
DuroDora	2014-06-06	2018-05-07	7
DuroDora	2018-05-08	2022-05-01	8
DuroDora	2022-05-02		9
EgyedZsolt	2014-06-06	2018-05-07	7
FarkasGergely	2014-06-06	2018-05-07	7
FarkasGergely	2018-05-08	2022-05-01	8
FarkasSandor	2014-06-06	2018-05-07	7
FarkasSandor	2018-05-08	2022-05-01	8
FarkasSandor	2022-05-02		9
FazekasSandor	2014-06-06	2018-05-07	7
FazekasSandor	2018-05-08	2022-05-01	8
FazekasSandor	2022-05-02		9
FeketeGyorAndras	2022-05-02		9
FenyvesiZoltan	2018-05-08	2022-05-01	8
FirtlMatyas	2014-06-06	2018-05-07	7
FKovacsSandor	2018-05-08	2022-05-01	8
FKovacsSandor	2022-05-02		9
FodorGabor	2014-06-06	2018-05-07	7
FoldiLaszlo	2014-06-06	2018-05-07	7
FoldiLaszlo	2018-05-08	2022-05-01	8
FoldiLaszlo	2022-05-02		9
FonagyJanos	2014-06-06	2018-05-07	7
FonagyJanos	2018-05-08	2022-05-01	8
FonagyJanos	2022-05-02		9
FontSandor	2014-06-06	2018-05-07	7
FontSandor	2018-05-08	2022-05-01	8
FontSandor	2022-05-02		9
FulopErik	2018-05-08	2022-05-01	8
GaalGergely	2017-09-18	2018-05-07	7
GalambosDenes	2014-06-06	2018-05-07	7
GelencserAttila	2014-06-06	2018-05-07	7
GelencserAttila	2018-05-08	2022-05-01	8
GelencserAttila	2022-05-02		9
GelencserFerenc	2022-05-02		9
GogosZoltan	2014-06-06	2018-05-07	7
GreczyZsolt	2018-05-08	2019-12-31	8
GreczyZsolt	2022-05-02		9
GulyasGergely	2014-06-06	2018-05-07	7
GulyasGergely	2018-05-08	2022-05-01	8
GulyasGergely	2022-05-02		9
GurmaiZita	2018-05-08	2022-05-01	8
GurmaiZita	2022-05-02		9
GurNandor	2014-06-06	2018-05-07	7
GyNemethErzsebet	2022-05-02		9
GyongyosiMarton	2014-06-06	2018-05-07	7
GyongyosiMarton	2018-05-08	2019-06-25	8
GyoparosAlpar	2014-06-06	2018-05-07	7
GyoparosAlpar	2018-05-08	2022-05-01	8
GyoparosAlpar	2022-05-02		9
GyorffyBalazs	2014-06-06	2018-05-07	7
GyorffyBalazs	2018-05-08	2022-05-01	8
GyorffyBalazs	2022-05-02		9
GyurcsanyFerenc	2014-06-06	2018-05-07	7
GyurcsanyFerenc	2018-05-08	2022-05-01	8
GyurcsanyFerenc	2022-05-02		9
GyureCsaba	2014-06-06	2018-05-07	7
GyureCsaba	2019-04-01	2022-05-01	8
HadhazyAkos	2016-09-12	2018-05-07	7
HadhazyAkos	2018-05-08	2022-05-01	8
HadhazyAkos	2022-05-02		9
HadhazySandor	2014-06-06	2018-05-07	7
HadhazySandor	2018-05-08	2022-05-01	8
HajduLaszlo	2018-05-08	2022-05-01	8
HajnalMiklos	2022-05-02		9
HalaszJanos	2014-06-06	2018-05-07	7
HalaszJanos	2018-05-08	2022-05-01	8
HalaszJanos	2022-05-02		9
HarangozoGabor	2014-06-06	2018-05-07	7
HarangozoTamas	2014-06-06	2018-05-07	7
