fileid	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok	speechNrLast	nameIDifElnok
2014-05-06	22	TuriKovacsBela	24	KoverLaszlo																
2014-05-10	5	KoverLaszlo																		
2014-05-12	28	KoverLaszlo	39	JakabIstvan	52	LatorcaiJanos	78	SneiderTamas												
2014-05-13	30	LezsakSandor	73	JakabIstvan																
2014-05-26	20	KoverLaszlo	54	LatorcaiJanos	91	JakabIstvan														
2014-06-02	20	KoverLaszlo	71	HillerIstvan	142	LezsakSandor														
2014-06-06	7	KoverLaszlo	10	LezsakSandor																
2014-06-10	20	KoverLaszlo	162	LatorcaiJanos	199	LezsakSandor	277	JakabIstvan												
2014-06-11	77	HillerIstvan	101	JakabIstvan	156	LatorcaiJanos	210	JakabIstvan												
2014-06-19	20	KoverLaszlo	151	JakabIstvan	196	LezsakSandor	244	LatorcaiJanos	268	SneiderTamas	296	HillerIstvan								
2014-06-23	22	KoverLaszlo	110	SneiderTamas	190	HillerIstvan	236	LezsakSandor	285	LatorcaiJanos										
2014-06-30	36	KoverLaszlo	130	LezsakSandor	218	JakabIstvan	248	SneiderTamas	325	HillerIstvan										
2014-07-04	26	KoverLaszlo	90	JakabIstvan	128	LatorcaiJanos	197	LezsakSandor												
2014-09-15	22	KoverLaszlo	178	LezsakSandor	252	JakabIstvan	292	SneiderTamas	317	JakabIstvan										
2014-09-16	30	LatorcaiJanos	58	JakabIstvan	88	HillerIstvan	107	LatorcaiJanos												
2014-09-24	188	JakabIstvan	229	LezsakSandor	250	KoverLaszlo	272	LatorcaiJanos	297	SneiderTamas										
2014-09-26	50	LezsakSandor	137	HillerIstvan																
2014-10-13	44	KoverLaszlo	226	SneiderTamas	291	HillerIstvan														
2014-10-14	24	LatorcaiJanos	32	JakabIstvan	74	SneiderTamas	98	LatorcaiJanos	123	LezsakSandor										
2014-10-20	36	KoverLaszlo	121	JakabIstvan	279	HillerIstvan	315	LezsakSandor	347	HillerIstvan	404	LezsakSandor								
2014-10-27	30	LatorcaiJanos	196	LezsakSandor	272	JakabIstvan	313	LatorcaiJanos												
2014-10-28	38	JakabIstvan	70	HillerIstvan	106	LatorcaiJanos	158	LezsakSandor	219	SneiderTamas										
2014-11-03	64	JakabIstvan	195	LatorcaiJanos	253	HillerIstvan	281	LezsakSandor	326	SneiderTamas										
2014-11-10	64	LezsakSandor	186	HillerIstvan	234	LatorcaiJanos	274	SneiderTamas	329	JakabIstvan										
2014-11-11	34	LatorcaiJanos	62	HillerIstvan	100	JakabIstvan	127	LezsakSandor												
2014-11-17	20	KoverLaszlo	58	LezsakSandor	184	JakabIstvan	281	HillerIstvan												
2014-11-18	52	LatorcaiJanos	97	HillerIstvan																
2014-11-19	10	KoverLaszlo	40	JakabIstvan	78	LatorcaiJanos	110	SneiderTamas	144	LezsakSandor	161	LatorcaiJanos								
2014-11-20	36	LatorcaiJanos	80	LezsakSandor	142	JakabIstvan	172	LezsakSandor	215	SneiderTamas										
2014-11-21	34	JakabIstvan	88	SneiderTamas	140	LatorcaiJanos	177	HillerIstvan												
2014-11-24	64	KoverLaszlo	200	LatorcaiJanos	288	JakabIstvan	303	HillerIstvan												
2014-11-25	38	LatorcaiJanos	86	JakabIstvan	140	LatorcaiJanos	168	JakabIstvan	203	SneiderTamas										
2014-11-26	64	HillerIstvan	132	LatorcaiJanos	197	SneiderTamas														
2014-12-01	29	KoverLaszlo	118	LezsakSandor	243	LatorcaiJanos	296	LezsakSandor												
2014-12-02	96	LezsakSandor	154	HillerIstvan	175	SneiderTamas														
2014-12-03	22	LatorcaiJanos	50	SneiderTamas	132	HillerIstvan	180	LezsakSandor	299	JakabIstvan										
2014-12-08	70	KoverLaszlo	236	JakabIstvan	326	LatorcaiJanos	383	LezsakSandor												
2014-12-09	44	JakabIstvan	110	HillerIstvan	123	SneiderTamas														
2014-12-10	24	LatorcaiJanos	66	SneiderTamas	82	LatorcaiJanos	108	HillerIstvan	139	LezsakSandor										
2014-12-15	90	JakabIstvan	161	LatorcaiJanos	185	LezsakSandor	318	JakabIstvan												
