parlaid	frakciótagság	frakció neve	from	to
AghPeter	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
AghPeter	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
AghPeter	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
AghPeter	member	parliamentaryGroup.Fidesz.9	2022-05-02	
AnderBalazs	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
AnderBalazs	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2022-05-01
ApatiIstvan	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
ApatiIstvan	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2018-10-08
ApatiIstvan	deputyHead	parliamentaryGroup.MiHazank.9	2022-05-02	
ApatiIstvan	member	parliamentaryGroup.MiHazank.9	2022-05-02	
AradszkiAndras	member	parliamentaryGroup.KDNP.7	2014-05-06	2018-05-07
AradszkiAndras	deputyHead	parliamentaryGroup.KDNP.7	2014-05-06	2014-06-14
AradszkiAndras	member	parliamentaryGroup.KDNP.8	2018-05-08	2022-05-01
AradszkiAndras	deputyHead	parliamentaryGroup.KDNP.8	2018-06-04	2022-05-01
AradszkiAndras	member	parliamentaryGroup.KDNP.9	2022-05-02	
AratoGergely	deputyHead	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
AratoGergely	member	parliamentaryGroup.DK.8	2018-05-08	2022-05-01
AratoGergely	deputyHead	parliamentaryGroup.DK.9	2022-05-02	
AratoGergely	member	parliamentaryGroup.DK.9	2022-05-02	
BajkaiIstvan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BajkaiIstvan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BakosBernadett	member	parliamentaryGroup.LMP.9	2022-05-02	
BalassaPeter	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
BalczoZoltan	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2014-06-20
BalczoZoltan	member	parliamentaryGroup.JOBBIK.8	2019-07-08	2022-05-01
BallaGyorgy	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BallaGyorgy	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BallaGyorgy	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BallaGyorgy	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BallaGyorgy	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
BallaGyorgy	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BallaMihaly	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
BallaMihaly	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BallaMihaly	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BallaMihaly	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BalogZoltan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BalogZoltan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2018-10-17
BanaTibor	member	parliamentaryGroup.JOBBIK.7	2014-05-06	2018-05-07
BanaTibor	member	parliamentaryGroup.JOBBIK.8	2018-05-08	2020-03-02
BangoneBorbelyIldiko	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
BangoneBorbelyIldiko	deputyHead	parliamentaryGroup.MSZP.8	2018-05-08	2019-06-13
BangoneBorbelyIldiko	member	parliamentaryGroup.MSZP.8	2018-05-08	2022-05-01
BankiErik	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BankiErik	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2015-11-01
BankiErik	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BankiErik	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BankiErik	deputyHead	parliamentaryGroup.Fidesz.9	2022-05-02	
BankiErik	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BanyaiGabor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BanyaiGabor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BanyaiGabor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BarandyGergely	member	parliamentaryGroup.MSZP.7	2014-05-06	2018-05-07
BarczaAttila	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BarczaAttila	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BarkocziBalazs	member	parliamentaryGroup.DK.9	2022-05-02	
BartosMonika	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BartosMonika	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BartosMonika	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BecsoKaroly	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BecsoZsolt	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BecsoZsolt	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BecsoZsolt	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BedoDavid	member	parliamentaryGroup.Momentum.9	2022-05-02	
BedoDavid	deputyHead	parliamentaryGroup.Momentum.9	2022-05-02	
BencsikJanos	deputyHead	parliamentaryGroup.Fidesz.7	2014-07-04	2015-11-01
BencsikJanos	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BencsikJanos	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BencsikJanos	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BenczeJanos	member	parliamentaryGroup.JOBBIK.9	2022-05-02	
BeneIldiko	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BerkiSandor	member	parliamentaryGroup.Parbeszed.9	2022-05-02	
BNagyLaszlo	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BNagyLaszlo	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BodoSandor	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BodoSandor	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
BodoSandor	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BodoSandor	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BoldogIstvan	deputyHead	parliamentaryGroup.Fidesz.7	2014-05-06	2014-07-03
BoldogIstvan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BoldogIstvan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BonaZoltan	deputyHead	parliamentaryGroup.Fidesz.7	2017-10-02	2018-05-07
BonaZoltan	member	parliamentaryGroup.Fidesz.7	2014-05-06	2018-05-07
BonaZoltan	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BonaZoltan	deputyHead	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BonaZoltan	member	parliamentaryGroup.Fidesz.9	2022-05-02	
BoroczLaszlo	deputyHead	parliamentaryGroup.Fidesz.8	2018-10-29	2022-05-01
BoroczLaszlo	member	parliamentaryGroup.Fidesz.8	2018-05-08	2022-05-01
BoszAnett	member	parliamentaryGroup.DK.8	2019-12-09	2022-05-01
BoszAnett	deputyHead	parliamentaryGroup.DK.8	2020-02-11	2022-05-01
BoszAnett	deputyHead	parliamentaryGroup.Parbeszed.8	2018-05-08	2018-05-18
BoszAnett	member	parliamentaryGroup.Parbeszed.8	2018-05-08	2018-05-18
