parlaid	role	párt ref	from	to (ha most is, akkor üres)
AghPeter	member	party.Fidesz	1999	
AnderBalazs	member	party.JOBBIK	2010	
AnderBalazs	deputyHead	party.JOBBIK	2020-01-25	
ApatiIstvan	member	party.JOBBIK	2005	2018-10-08
ApatiIstvan	deputyHead	party.JOBBIK	2014-06-21	2016-05-29
ApatiIstvan	deputyHead	party.JOBBIK	2018-05-18	2018-10-08
ApatiIstvan	deputyHead	party.MiHazank	2018-06-23	
ApatiIstvan	member	party.MiHazank	2018-06-23	
AradszkiAndras	member	party.KDNP	1990	
AratoGergely	member	party.DK	2011-10-22	
AzbejTristan	member	party.KDNP	2010	
AzbejTristan	deputyHead	party.KDNP	2020-01-18	
BagdyGabor	member	party.KDNP	2002	
BagdyGabor	deputyHead	party.KDNP	2010-12-18	
BajkaiIstvan	member	party.Fidesz	1998	
BakosBernadett	member	party.LMP1	2017	2020-02-01
BakosBernadett	member	party.LMP2	2020-02-01	
BalassaPeter	member	party.JOBBIK	2009	
BalczoZoltan	member	party.JOBBIK	2003-10-24	
BallaGyorgy	member	party.Fidesz	2014-06-06	
BallaMihaly	member	party.Fidesz	2014-06-06	
BalogZoltan	member	party.Fidesz	2014-06-06	2018-10-17
BanaTibor	member	party.JOBBIK	2007	2020-01-25
BanaTibor	deputyHead	party.JOBBIK	2018-05-12	2020-01-25
BangoneBorbelyIldiko	member	party.MSZP	2014-06-06	2022-01-23
BankiErik	member	party.Fidesz	1998-06-18	
BanyaiGabor	member	party.Fidesz	2006-05-16	
BarandyGergely	member	party.MSZP	2003	
BarczaAttila	member	party.Fidesz	2018-05-18	
BarkocziBalazs	member	party.DK	2019	
BartosMonika	member	party.Fidesz	2010-05-14	
BecsoKaroly	member	party.Fidesz	2002	
BecsoZsolt	member	party.Fidesz	1998-06-18	
BedoDavid	member	party.Momentum	2017-03-04	
BencsikJanos	member	party.Fidesz	2006-05-16	
BenczeJanos	member	party.JOBBIK	2008	
BeneIldiko	member	party.Fidesz	2000	
BerkiSandor	member	party.Parbeszed	2017	
BNagyLaszlo	member	party.Fidesz	2014-06-06	
BodoSandor	member	party.Fidesz	2011-10-24	
BoldogIstvan	member	party.Fidesz	2010-05-14	2022-05-01
BonaZoltan	member	party.Fidesz	2014-06-06	
BoroczLaszlo	member	party.Fidesz	2018-05-18	
BoszAnett	member	party.MLP	2013-04-27	
BoszAnett	head	party.MLP	2019-12-01	
BrennerKoloman	member	party.JOBBIK	2015	
BudaiGyula	member	party.Fidesz	1998	
BuranySandor	member	party.MSZP	1994-06-28	
CsanyiTamas	member	party.JOBBIK	2019-02-18	
CsardiAntal	member	party.LMP1	2009-02-14	2020-02-01
CsardiAntal	member	party.LMP2	2020-02-01	
CsehKatalin	member	party.Momentum	2017-03-04	
CsengerZalanZsolt	member	party.Fidesz	2014-06-06	
CsepreghyNandor	member	party.Fidesz	2003	
CseresnyesPeter	member	party.Fidesz	1998	
CsiziPeter	member	party.Fidesz	1998	
CsoborKatalin	member	party.Fidesz	2005	
CzervanGyorgy	member	party.Fidesz	1998-06-18	
CzombaSandor	member	party.Fidesz	2014-06-06	
CzunyineDrBertalanJudit	member	party.Fidesz	2010-05-14	
DankoBela	member	party.Fidesz	1998	
DemeterMarta	member	party.MSZP	2007	2017-01-31
DemeterMarta	member	party.LMP1	2017-12-08	2020-02-01
DemeterMarta	head	party.LMP1	2018-10-20	2019-11-23
DemeterMarta	member	party.LMP2	2020-02-01	
DemeterZoltan	member	party.Fidesz	1998	
DocsDavid	deputyHead	party.MiHazank	2018-06-23	
DocsDavid	member	party.MiHazank	2018-06-23	
DomokosLaszlo	member	party.Fidesz	1998	
DomotorCsaba	member	party.Fidesz	2014-06-06	
DonathAnna	head	party.Momentum	2021-11-21	2022-05-29
DonathAnna	member	party.Momentum	2016	
DudasRobert	member	party.JOBBIK	2009	
DudasRobert	deputyHead	party.JOBBIK	2020-01-25	
DunaiMonika	member	party.Fidesz	1990	
DuroDora	member	party.JOBBIK	2005	2018
DuroDora	deputyHead	party.MiHazank	2018-06-23	
DuroDora	member	party.MiHazank	2018-06-23	
EgyedZsolt	member	party.JOBBIK	2010	
FarkasGergely	member	party.JOBBIK	2003-10-24	2020-05-27
FarkasSandor	member	party.Fidesz	1993	
FazekasSandor	member	party.Fidesz	2014-06-06	
FeketeGyorAndras	head	party.Momentum	2017-03-04	2021-10-10
FeketeGyorAndras	member	party.Momentum	2017-03-04	
FenyvesiZoltan	member	party.Fidesz	1997	
FenyvesiZoltan	member	party.KDNP	2006	
FirtlMatyas	member	party.KDNP	1989	
FirtlMatyas	member	party.Fidesz	1997	
FKovacsSandor	member	party.Fidesz	2000	
FodorGabor	head	party.MLP	2013-04-27	2019-08-27
FodorGabor	member	party.MLP	2013-04-27	
FoldiLaszlo	member	party.KDNP	2010	
FonagyJanos	member	party.Fidesz	2014-06-06	
FontSandor	member	party.Fidesz	2014	
FulopErik	member	party.JOBBIK	2010	2018-10-08
FulopErik	member	party.MiHazank	2018-10-09	
FulopErik	deputyHead	party.JOBBIK	2016-05-29	2018-05-12
FurjesBalazs	member	party.Fidesz	1988-03-30	
GaalGergely	member	party.Fidesz	2004	
GaalGergely	member	party.KDNP	2006	
GalambosDenes	member	party.Fidesz	2014-06-06	
GalKinga	deputyHead	party.Fidesz	2013	2017-09-19
GalKinga	deputyHead	party.Fidesz	2021-11-14	
GalKinga	member	party.Fidesz	2004	
GelencserAttila	member	party.Fidesz	2010	
GelencserFerenc	member	party.Momentum	2017-03-04	
GelencserFerenc	head	party.Momentum	2022-05-29	
GogosZoltan	member	party.MSZP	1989-11-21	
GogosZoltan	deputyHead	party.MSZP	2014-07-19	2018-04-10
GreczyZsolt	member	party.DK	2018	
GulyasGergely	member	party.Fidesz	2005	
GulyasGergely	deputyHead	party.Fidesz	2015-12-10	2019-09-29
GurmaiZita	deputyHead	party.MSZP	2020-09-19	
GurmaiZita	member	party.MSZP	1993	
GurNandor	member	party.MSZP	1999	
GurNandor	deputyHead	party.MSZP	2012	2014
GurNandor	deputyHead	party.MSZP	2016-06-25	2018-06-17
GyNemethErzsebet	deputyHead	party.DK	2020-03-01	
GyNemethErzsebet	member	party.DK	2011-10-22	
GyongyosiMarton	member	party.JOBBIK	2006	
GyongyosiMarton	deputyHead	party.JOBBIK	2018-05-12	2022-07-02
GyongyosiMarton	head	party.JOBBIK	2022-07-02	
GyoparosAlpar	member	party.Fidesz	2009	
GyorffyBalazs	member	party.Fidesz	2010	
GyurcsanyFerenc	member	party.MSZP	2007	2010
GyurcsanyFerenc	member	party.DK	2011-10-22	
GyurcsanyFerenc	head	party.DK	2011-10-22	
GyureCsaba	member	party.JOBBIK	2004	
HadhazyAkos	member	party.LMP1	2014	2018-04-09
HadhazyAkos	head	party.LMP1	2016-07-16	2018-04-09
HadhazySandor	member	party.Fidesz	1998	
HajduLaszlo	member	party.MSZP	1989-11-21	2010
HajnalMiklos	member	party.Momentum	2017-03-04	
HalaszJanos	member	party.Fidesz	1998	
HarangozoGabor	member	party.MSZP	2000	
HarangozoTamas	member	party.MSZP	2010	
HargitaiJanos	member	party.KDNP	1994	
HargitaiJanos	deputyHead	party.KDNP	2015-03-21	2020-01-18
HarrachPeter	member	party.KDNP	1989	
HarrachPeter	deputyHead	party.KDNP	2010-12-18	
HegedusAndrea	member	party.DK	2019	
HegedusLorantne	member	party.JOBBIK	2010	2020-01-25
HegedusLorantne	deputyHead	party.JOBBIK	2018-05-12	2020-01-25
HegyiGyula	member	party.MSZP	1995-03-15	
