NAME	ROLE	HU	EN	ORG	DATE	DATE
AderJanos	head	köztársasági elnök	president of the Republic	REP	2012-05-10	2022-05-09
AderJanos	member			REP	1989	
AghPeter	deputyHead	Honvédelmi és rendészeti bizottság alelnöke	deputy head of the Committee on Defence and Law Enforcement	org.HRB	2018-10-15	2020-05-05
AghPeter	member	Honvédelmi és rendészeti bizottság tagja	member of the Committee on Defence and Law Enforcement	org.HRB	2014-06-06	2018-05-07
AghPeter	member	Honvédelmi és rendészeti bizottság tagja	member of the Committee on Defence and Law Enforcement	org.HRB	2018-05-18	2020-05-05
AghPeter	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2014-06-06	2015-09-22
AghPeter	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2020-05-05	2022-05-01
AghPeter	member	Törvényalkotási bizottság tagja	member of the Committee on Legislation	org.TB	2022-05-02	
AgosthazySzabolcsImre	secretaryOfState			ministry.ITM	2020-10-01	2020-12-31
AgosthazySzabolcsImre	secretaryOfState			ministry.Min	2021-01-01	2022-05-23
AgosthazySzabolcsImre	secretaryOfState			ministry.Min	2022-05-25	
AlexovLyubomir	deputyHead	Magyarországi nemzetiségek bizottságának alelnöke	deputy head of the Committee on Nationalities in Hungary	org.MNemzB	2020-03-09	2022-05-01
AlexovLyubomir	deputyHead	Magyarországi nemzetiségek bizottságának alelnöke	deputy head of the Committee on Nationalities in Hungary	org.MNemzB	2022-05-09	
AlexovLyubomir	member	szerb nemzetiségi szószóló	advocate for the Serbian minority	org.MNemzB	2014-05-26	2018-05-07
AlexovLyubomir	member	szerb nemzetiségi szószóló	advocate for the Serbian minority	org.MNemzB	2018-05-08	2022-05-01
AlexovLyubomir	member	szerb nemzetiségi szószóló	advocate for the Serbian minority	org.MNemzB	2022-05-02	
AnderBalazs	deputyHead	Kulturális bizottság alelnöke	deputy head of the Committee on Culture	org.KultB	2018-06-11	2022-05-01
AnderBalazs	member	Kulturális bizottság alelnöke	member of the Committee on Culture	org.KultB	2018-06-11	2022-05-01
AnderBalazs	member	Népjóléti bizottság tagja	member of the Committee on Social Welfare	org.NB	2016-09-12	2018-05-07
